Zeit,Waage 1,Waage 2
2025-08-02 20:07,T: 29.10 °C | H: 62.30 % | Gewicht: 35996.3 g,T: 26.10 °C | H: 75.80 % | Gewicht: 40340.9 g
2025-08-02 21:07,T: 30.00 °C | H: 59.90 % | Gewicht: 35979.0 g,T: 26.40 °C | H: 70.00 % | Gewicht: 40329.4 g
2025-08-02 22:07,T: 29.50 °C | H: 62.40 % | Gewicht: 35980.5 g,T: 22.40 °C | H: 75.10 % | Gewicht: 40321.2 g
2025-08-02 23:07,T: 28.80 °C | H: 63.00 % | Gewicht: 36032.3 g,T: 22.50 °C | H: 77.20 % | Gewicht: 40327.6 g
2025-08-03 00:07,T: 28.40 °C | H: 62.90 % | Gewicht: 36052.4 g,T: 23.50 °C | H: 83.90 % | Gewicht: 40323.2 g
2025-08-03 01:07,T: 27.90 °C | H: 63.80 % | Gewicht: 36067.7 g,T: 23.50 °C | H: 78.30 % | Gewicht: 40318.5 g
2025-08-03 02:07,T: 27.90 °C | H: 64.30 % | Gewicht: 36054.7 g,T: 25.00 °C | H: 74.40 % | Gewicht: 40312.5 g
2025-08-03 03:07,T: 28.00 °C | H: 64.80 % | Gewicht: 36108.1 g,T: 22.40 °C | H: 82.70 % | Gewicht: 40306.5 g
2025-08-03 04:07,T: 27.70 °C | H: 64.80 % | Gewicht: 36133.1 g,T: 22.60 °C | H: 80.20 % | Gewicht: 40312.1 g
2025-08-03 05:07,T: 28.00 °C | H: 64.40 % | Gewicht: 36137.5 g,T: 22.60 °C | H: 81.50 % | Gewicht: 40304.1 g
2025-08-03 06:07,T: 27.70 °C | H: 64.40 % | Gewicht: 36160.7 g,T: 21.90 °C | H: 82.80 % | Gewicht: 40297.2 g
2025-08-03 07:07,T: 28.80 °C | H: 61.70 % | Gewicht: 36164.0 g,T: 21.90 °C | H: 83.30 % | Gewicht: 40279.1 g
2025-08-03 08:07,T: 28.20 °C | H: 63.40 % | Gewicht: 36172.9 g,T: 21.80 °C | H: 81.60 % | Gewicht: 40282.7 g
2025-08-03 09:07,T: 28.90 °C | H: 65.20 % | Gewicht: 36114.7 g,T: 23.00 °C | H: 85.10 % | Gewicht: 40214.7 g
2025-08-03 10:07,T: 30.00 °C | H: 64.70 % | Gewicht: 35980.1 g,T: 23.80 °C | H: 85.30 % | Gewicht: 39989.7 g
2025-08-03 11:07,T: 30.70 °C | H: 62.10 % | Gewicht: 35823.3 g,T: 25.70 °C | H: 83.60 % | Gewicht: 40013.9 g
2025-08-03 12:13,T: 29.90 °C | H: 61.50 % | Gewicht: 35771.0 g,T: 25.80 °C | H: 82.50 % | Gewicht: 39975.5 g
2025-08-03 13:07,T: 30.00 °C | H: 62.60 % | Gewicht: 35745.4 g,T: 26.30 °C | H: 78.60 % | Gewicht: 40011.6 g
2025-08-03 14:07,T: 30.00 °C | H: 63.40 % | Gewicht: 35657.5 g,T: 26.50 °C | H: 78.90 % | Gewicht: 40021.9 g
2025-08-03 15:07,T: 30.70 °C | H: 63.40 % | Gewicht: 35611.8 g,T: 26.20 °C | H: 76.00 % | Gewicht: 39867.9 g
2025-08-03 16:07,T: 30.60 °C | H: 63.20 % | Gewicht: 35620.0 g,T: 27.30 °C | H: 78.70 % | Gewicht: 39860.7 g
2025-08-03 17:07,T: 31.20 °C | H: 61.70 % | Gewicht: 35550.9 g,T: 27.60 °C | H: 73.80 % | Gewicht: 39852.9 g
2025-08-03 18:07,T: 30.20 °C | H: 61.50 % | Gewicht: 35517.9 g,T: 27.20 °C | H: 67.10 % | Gewicht: 39890.4 g
